(11.0, 1.0, 1.0)
(10.658677864746936, 0.9074810026164931, 1.9353819728375352)
(9.715119766456283, 1.099564156904137, 1.6655631873739702)
(9.683091897588103, 2.0953672016608094, 1.7512983124342572)
(9.807048914764552, 2.330631864829659, 2.71529270876484)
(8.831337502180764, 2.3681798566907966, 2.9311106590399385)
(8.209907112018133, 2.4223179775941626, 3.712707315920822)
(7.813276350002307, 3.2390321056879325, 4.1318279090617205)
(8.293262502713974, 3.7687638300537376, 4.831111537788636)
(7.404003086939324, 4.223866494964756, 4.876929174644062)
(6.744135530662017, 4.66508734504013, 5.485122375552606)
(6.282888337181321, 5.528599392821485, 5.689078179202881)
(6.472766067386612, 6.351934185570249, 5.154226548728189)
(2.0, 10.0, 1.0)
