(11.0, 1.0, 1.0)
(10.966620404099377, 1.9699026179899852, 1.2411943494232065)
(10.720424132478037, 2.87227609647238, 1.59490256415865)
(10.878976512847192, 3.8460431184109223, 1.7581169313700502)
(10.76265746743564, 4.1362557342240445, 2.707983510052262)
(10.239699804693156, 4.676406454804372, 3.3673411383811325)
(9.6542296027275, 4.8438021612331275, 4.160564511763128)
(9.12234725301604, 5.343420552043019, 4.844291525731385)
(8.604859695441103, 6.196910244211695, 4.782956599979866)
(2.0, 10.0, 1.0)
