(1.0, 1.0, 2.0)
(1.0909854941913844, 1.0959911897740722, 2.991215078241099)
(1.388659830417271, 2.0323173625278947, 3.1774495749613805)
(2.3691074787625563, 2.1211796436505135, 3.353022647634511)
(3.222686799147385, 2.578289141082258, 3.6029291324824873)
(3.163538927363157, 2.74674761781533, 4.586861686512574)
(3.7913009781692417, 2.1780566524331517, 5.118374050865864)
(4.214368173226018, 2.9756242054688, 5.5483742215769)
(4.869152094615506, 3.370018305769181, 6.193131005130246)
(4.737160161251121, 4.314970175219486, 6.492537240785261)
(5.208944894254452, 4.940364763155488, 5.871006247925424)
(9.0, 5.0, 2.0)
